{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.39, 'y': 0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.415, 'y': -0.003, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.415, 'y': -0.003, 'yaw': 0.0, 'bx': -0.039, 'by': -0.003}
{'ID': '', 'x': -0.415, 'y': -0.003, 'yaw': 0.0, 'bx': -0.039, 'by': -0.003}
{'ID': '', 'x': -0.412, 'y': 0.004, 'yaw': 6.283, 'bx': -0.039, 'by': -0.003}
{'ID': '', 'x': -0.42, 'y': -0.01, 'yaw': 0.0, 'bx': -0.039, 'by': -0.003}
{'ID': '', 'x': -0.407, 'y': -0.017, 'yaw': 0.0, 'bx': -0.044, 'by': -0.01}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.0, 'by': 0.0}
{'ID': '', 'x': -0.379, 'y': -0.025, 'yaw': 0.039, 'bx': -0.044, 'by': -0.01}
{'ID': '', 'x': -0.338, 'y': -0.032, 'yaw': 6.279, 'bx': -0.044, 'by': -0.01}
{'ID': '', 'x': -0.297, 'y': -0.04, 'yaw': 6.277, 'bx': -0.044, 'by': -0.01}
{'ID': '', 'x': -0.256, 'y': -0.048, 'yaw': 0.025, 'bx': -0.044, 'by': -0.01}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.205, 'bx': -0.0, 'by': 0.0}
{'ID': '', 'x': -0.215, 'y': -0.056, 'yaw': 0.088, 'bx': -0.044, 'by': -0.01}
