{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.45, 'y': 0.0, 'yaw': 0.001}
{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.467, 'y': -0.008, 'yaw': 0.002}
{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.41, 'y': -0.023, 'yaw': 6.283}
{'bx': 0.165, 'by': -0.054, 'ID': 'v', 'x': -0.41, 'y': -0.023, 'yaw': 6.283}
{'bx': 0.165, 'by': -0.054, 'ID': 'v', 'x': -0.41, 'y': -0.023, 'yaw': 6.28}
{'bx': 0.165, 'by': -0.054, 'ID': 'v', 'x': -0.436, 'y': 0.001, 'yaw': 0.006}
{'bx': 0.165, 'by': -0.054, 'ID': 'v', 'x': -0.451, 'y': -0.009, 'yaw': 0.006}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.433, 'y': -0.007, 'yaw': 6.199}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.396, 'y': -0.007, 'yaw': 6.146}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.34, 'y': -0.007, 'yaw': 6.205}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.285, 'y': 0.001, 'yaw': 0.013}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.23, 'y': 0.012, 'yaw': 0.049}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.175, 'y': 0.024, 'yaw': 0.035}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.12, 'y': 0.033, 'yaw': 0.008}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.065, 'y': 0.04, 'yaw': 0.033}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': -0.009, 'y': 0.046, 'yaw': 0.073}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.046, 'y': 0.052, 'yaw': 0.09099999}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.101, 'y': 0.06, 'yaw': 0.067}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.155, 'y': 0.07, 'yaw': 0.061}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.08, 'y': 0.06599999, 'yaw': 0.487}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.028, 'y': 0.05, 'yaw': 0.517}
{'bx': 0.117, 'by': -0.037, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 0.517}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 0.517}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 0.473}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 0.244}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 6.219}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.043, 'y': 0.056, 'yaw': 6.009}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.074, 'y': 0.048, 'yaw': 5.998}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.135, 'y': 0.03, 'yaw': 6.096}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.229, 'y': 0.012, 'yaw': 6.145}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.324, 'y': -0.001, 'yaw': 6.107}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.418, 'y': -0.018, 'yaw': 6.009}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.476, 'y': -0.034, 'yaw': 5.714}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.527, 'y': -0.067, 'yaw': 5.772}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.561, 'y': -0.086, 'yaw': 5.787}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.579, 'y': -0.096, 'yaw': 6.037}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.579, 'y': -0.096, 'yaw': 0.081}
{'bx': 0.824, 'by': 0.025, 'ID': 'v', 'x': 0.579, 'y': -0.096, 'yaw': 0.432}
