{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.409, 'y': 0.008, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.417, 'y': -0.018, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.417, 'y': -0.018, 'yaw': 0.0, 'bx': -0.045, 'by': -0.018}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.424, 'y': 0.004, 'yaw': 0.001, 'bx': -0.045, 'by': -0.018}
{'ID': '', 'x': -0.42, 'y': 0.018, 'yaw': 0.001, 'bx': -0.045, 'by': -0.018}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.261, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.404, 'y': 0.026, 'yaw': 6.275, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.217, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.373, 'y': 0.034, 'yaw': 6.231, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.551, 'y': -0.005, 'yaw': 6.252, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.327, 'y': 0.042, 'yaw': 6.268, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.48, 'y': -0.008, 'yaw': 6.276, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.281, 'y': 0.05, 'yaw': 6.281, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.409, 'y': -0.008, 'yaw': 0.036, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.235, 'y': 0.058, 'yaw': 0.02, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.338, 'y': -0.006, 'yaw': 6.282, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.188, 'y': 0.067, 'yaw': 6.279, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.291, 'y': -0.006, 'yaw': 0.044, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.142, 'y': 0.076, 'yaw': 6.276, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.064, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.112, 'y': 0.075, 'yaw': 0.02, 'bx': -0.05, 'by': 0.018}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.098, 'bx': -0.023, 'by': 0.0}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.082, 'bx': -0.023, 'by': 0.0}
{'ID': '', 'x': -0.124, 'y': 0.045, 'yaw': 0.078, 'bx': -0.05, 'by': 0.018}
{'ID': '', 'x': -0.114, 'y': 0.016, 'yaw': 0.078, 'bx': -0.05, 'by': 0.018}
{'ID': '', 'x': -0.103, 'y': 0.017, 'yaw': 0.044, 'bx': 0.975, 'by': -0.212}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.057, 'bx': -1.133, 'by': 0.208}
{'ID': '', 'x': -0.082, 'y': 0.018, 'yaw': 6.078, 'bx': 0.975, 'by': -0.212}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.037, 'bx': -1.133, 'by': 0.208}
{'ID': '', 'x': -0.051, 'y': 0.011, 'yaw': 5.725, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': -0.003, 'y': -0.019, 'yaw': 5.738, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.07, 'y': -0.063, 'yaw': 5.987, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.152, 'y': -0.088, 'yaw': 6.117, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.236, 'y': -0.102, 'yaw': 6.056, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.291, 'y': -0.115, 'yaw': 5.82, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.317, 'y': -0.128, 'yaw': 5.794, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.266, 'y': -0.032, 'yaw': 5.865, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.296, 'y': -0.138, 'yaw': 5.865, 'bx': 0.975, 'by': -0.212}
{'ID': '', 'x': 0.325, 'y': -0.151, 'yaw': 6.014, 'bx': 1.316, 'by': -0.31}
