{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.411, 'y': 0.033, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.422, 'y': 0.021, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.422, 'y': 0.021, 'yaw': 6.283, 'bx': -0.05, 'by': 0.021}
{'ID': '', 'x': -0.435, 'y': 0.049, 'yaw': 0.0, 'bx': -0.05, 'by': 0.021}
{'ID': '', 'x': -0.42, 'y': 0.016, 'yaw': 0.0, 'bx': -0.05, 'by': 0.021}
{'ID': '', 'x': -0.404, 'y': 0.025, 'yaw': 0.001, 'bx': -0.051, 'by': 0.016}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.024, 'by': -0.0}
{'ID': '', 'x': -0.374, 'y': 0.033, 'yaw': 6.207, 'bx': -0.051, 'by': 0.016}
{'ID': '', 'x': -0.328, 'y': 0.04, 'yaw': 0.001, 'bx': -0.051, 'by': 0.016}
{'ID': '', 'x': -0.281, 'y': 0.048, 'yaw': 0.003, 'bx': -0.051, 'by': 0.016}
{'ID': '', 'x': -0.235, 'y': 0.057, 'yaw': 6.278, 'bx': -0.051, 'by': 0.016}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 0.058, 'bx': -0.024, 'by': -0.0}
{'ID': '', 'x': -0.189, 'y': 0.065, 'yaw': 0.024, 'bx': -0.051, 'by': 0.016}
{'ID': '#0', 'x': -1.622, 'y': 0.002, 'yaw': 0.056, 'bx': -0.024, 'by': -0.0}
{'ID': '', 'x': -0.143, 'y': 0.074, 'yaw': 0.052, 'bx': -0.051, 'by': 0.016}
{'ID': '#0', 'x': -1.551, 'y': 0.006, 'yaw': 6.282, 'bx': -0.024, 'by': -0.0}
{'ID': '#0', 'x': -1.48, 'y': 0.006, 'yaw': 0.007, 'bx': -0.024, 'by': -0.0}
{'ID': '#0', 'x': -1.409, 'y': 0.006, 'yaw': 0.022, 'bx': -0.024, 'by': -0.0}
