{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.002, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.008, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.008, 'yaw': 6.283, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.449, 'y': 0.04, 'yaw': 0.0, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.44, 'y': 0.02, 'yaw': 0.0, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.028, 'yaw': 6.254, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.393, 'y': 0.036, 'yaw': 6.234, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.347, 'y': 0.043, 'yaw': 0.007, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.301, 'y': 0.052, 'yaw': 0.022, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.255, 'y': 0.06, 'yaw': 6.268, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.209, 'y': 0.069, 'yaw': 6.262, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': -0.0, 'yaw': 0.016, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.163, 'y': 0.077, 'yaw': 0.007, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': 0.001, 'yaw': 0.104, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': 0.008, 'yaw': 0.043, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': 0.011, 'yaw': 6.236, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': 0.008, 'yaw': 6.225, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.132, 'y': 0.077, 'yaw': 6.155, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': 0.003, 'yaw': 6.258, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': 0.002, 'yaw': 6.257, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': 0.002, 'yaw': 6.216, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.177, 'y': 0.086, 'yaw': 6.213, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.178, 'y': 0.072, 'yaw': 6.213, 'bx': -0.07, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': 0.002, 'yaw': 6.271, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': 0.002, 'yaw': 0.005, 'bx': -0.033, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.178, 'y': 0.072, 'yaw': 6.197, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': -0.121, 'y': 0.067, 'yaw': 6.171, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': -0.037, 'y': 0.058, 'yaw': 6.104, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.046, 'y': 0.043, 'yaw': 5.904, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.125, 'y': 0.011, 'yaw': 5.961, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.205, 'y': -0.015, 'yaw': 6.064, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.26, 'y': -0.028, 'yaw': 6.02, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.288, 'y': -0.035, 'yaw': 5.921, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.227, 'y': 0.027, 'yaw': 5.959, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '', 'x': 0.266, 'y': 0.048, 'yaw': 5.959, 'bx': 1.025, 'by': -0.116, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': 0.002, 'yaw': 0.024, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 0.266, 'y': 0.048, 'yaw': 5.989, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
{'ID': '', 'x': 0.32, 'y': 0.031, 'yaw': 5.841, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
