{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': -0.008, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.427, 'y': -0.016, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.427, 'y': -0.016, 'yaw': 0.0, 'bx': -0.056, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': -0.407, 'y': 0.01, 'yaw': 0.0, 'bx': -0.056, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': -0.422, 'y': -0.01, 'yaw': 6.283, 'bx': -0.056, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': -0.406, 'y': -0.001, 'yaw': 6.256, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.375, 'y': 0.006, 'yaw': 6.237, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.329, 'y': 0.014, 'yaw': 6.278, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.283, 'y': 0.022, 'yaw': 6.263, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.237, 'y': 0.03, 'yaw': 6.267, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.191, 'y': 0.039, 'yaw': 0.033, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.263, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.145, 'y': 0.047, 'yaw': 6.275, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.198, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.007, 'yaw': 6.24, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.01, 'yaw': 0.04, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.007, 'yaw': 0.05, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.115, 'y': 0.047, 'yaw': 6.078, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.003, 'yaw': 0.042, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.001, 'yaw': 0.077, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.0, 'yaw': 0.071, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.129, 'y': 0.089, 'yaw': 6.15, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.158, 'y': 0.093, 'yaw': 6.15, 'bx': -0.053, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.0, 'yaw': 0.105, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.0, 'yaw': 0.076, 'bx': -0.017, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.158, 'y': 0.093, 'yaw': 6.176, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': -0.158, 'y': 0.093, 'yaw': 5.972, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': -0.132, 'y': 0.084, 'yaw': 5.741, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': -0.084, 'y': 0.056, 'yaw': 5.869, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': -0.009, 'y': 0.023, 'yaw': 5.95, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.07, 'y': -0.004, 'yaw': 5.96, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.148, 'y': -0.031, 'yaw': 5.852, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.0, 'yaw': 0.072, 'bx': -1.108, 'by': 0.186, 'bytes': 4}
{'ID': '', 'x': 0.223, 'y': -0.065, 'yaw': 5.782, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.0, 'yaw': 0.014, 'bx': -1.108, 'by': 0.186, 'bytes': 4}
{'ID': '', 'x': 0.296, 'y': -0.105, 'yaw': 5.794, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.363, 'y': -0.141, 'yaw': 5.953, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.435, 'y': -0.166, 'yaw': 6.151, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.486, 'y': -0.172, 'yaw': 0.075, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.511, 'y': -0.171, 'yaw': 0.317, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.511, 'y': -0.171, 'yaw': 0.312, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '#0', 'x': -1.297, 'y': -0.12, 'yaw': 6.272, 'bx': -1.108, 'by': 0.186, 'bytes': 4}
{'ID': '#0', 'x': -1.26, 'y': -0.007, 'yaw': 6.273, 'bx': -1.108, 'by': 0.186, 'bytes': 4}
{'ID': '', 'x': 0.511, 'y': -0.171, 'yaw': 0.157, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.511, 'y': -0.171, 'yaw': 6.274, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.511, 'y': -0.171, 'yaw': 0.069, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.007, 'yaw': 6.271, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.28, 'y': 0.022, 'yaw': 0.07, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.308, 'y': 0.034, 'yaw': 0.03, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.335, 'y': 0.048, 'yaw': 0.025, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.362, 'y': 0.061, 'yaw': 6.219, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.387, 'y': 0.077, 'yaw': 6.225, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '#0', 'x': -1.413, 'y': 0.093, 'yaw': 6.255, 'bx': -1.159, 'by': 0.167, 'bytes': 4}
{'ID': '', 'x': 0.474, 'y': -0.179, 'yaw': 0.154, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.557, 'y': -0.158, 'yaw': 0.152, 'bx': 0.762, 'by': -0.094, 'bytes': 4}
{'ID': '', 'x': 0.557, 'y': -0.158, 'yaw': 0.2, 'bx': 1.074, 'by': -0.176, 'bytes': 4}
{'ID': '', 'x': 0.557, 'y': -0.158, 'yaw': 0.125, 'bx': 1.074, 'by': -0.176, 'bytes': 4}
{'ID': '#0', 'x': -1.413, 'y': 0.093, 'yaw': 6.262, 'bx': -1.314, 'by': 0.311, 'bytes': 4}
{'ID': '', 'x': 0.48, 'y': -0.109, 'yaw': 0.123, 'bx': 1.074, 'by': -0.176, 'bytes': 4}
{'ID': '', 'x': 0.541, 'y': -0.175, 'yaw': 0.123, 'bx': 1.074, 'by': -0.176, 'bytes': 4}
{'ID': '#0', 'x': -1.419, 'y': 0.054, 'yaw': 6.261, 'bx': -1.314, 'by': 0.311, 'bytes': 4}
{'ID': '', 'x': 0.558, 'y': -0.177, 'yaw': 0.122, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.454, 'y': 0.065, 'yaw': 6.261, 'bx': -1.314, 'by': 0.311, 'bytes': 4}
{'ID': '', 'x': 0.592, 'y': -0.176, 'yaw': 0.156, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.643, 'y': -0.173, 'yaw': 0.142, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.444, 'y': 0.063, 'yaw': 6.256, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.694, 'y': -0.17, 'yaw': 0.089, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.424, 'y': 0.06, 'yaw': 0.065, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.745, 'y': -0.167, 'yaw': 0.133, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': 0.058, 'yaw': 0.039, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.796, 'y': -0.164, 'yaw': 0.18, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.362, 'y': 0.056, 'yaw': 6.279, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.847, 'y': -0.16, 'yaw': 0.137, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.331, 'y': 0.053, 'yaw': 6.226, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.897, 'y': -0.157, 'yaw': 0.093, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.3, 'y': 0.05, 'yaw': 6.243, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.948, 'y': -0.154, 'yaw': 0.119, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '#0', 'x': -1.27, 'y': 0.049, 'yaw': 6.131, 'bx': -1.217, 'by': 0.106, 'bytes': 4}
{'ID': '', 'x': 0.978, 'y': -0.15, 'yaw': 6.258, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.876, 'y': -0.13, 'yaw': 0.035, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 0.034, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 6.204, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.26, 'y': 0.044, 'yaw': 5.914, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 6.038, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.24, 'y': 0.036, 'yaw': 6.05, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.956, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.21, 'y': 0.029, 'yaw': 6.039, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.903, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.179, 'y': 0.021, 'yaw': 5.801, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.641, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.151, 'y': 0.007, 'yaw': 5.412, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.157, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.13, 'y': -0.018, 'yaw': 5.363, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 4.924, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.111, 'y': -0.043, 'yaw': 4.862, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
