{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.229, 'y': 0.0, 'yaw': 0.052, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': 0.003, 'yaw': 0.081, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.371, 'y': 0.01, 'yaw': 0.038, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.456, 'y': 0.013, 'yaw': 6.262, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.542, 'y': 0.011, 'yaw': 6.24, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.627, 'y': 0.008, 'yaw': 0.014, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.713, 'y': 0.009, 'yaw': 0.033, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.799, 'y': 0.012, 'yaw': 0.024, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.884, 'y': 0.014, 'yaw': 6.263, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.97, 'y': 0.012, 'yaw': 6.276, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 1.055, 'y': 0.011, 'yaw': 6.269, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.229, 'y': 0.0, 'yaw': 0.051, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': 0.003, 'yaw': 0.095, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.371, 'y': 0.011, 'yaw': 0.033, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.456, 'y': 0.014, 'yaw': 6.239, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.542, 'y': 0.01, 'yaw': 6.231, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.627, 'y': 0.006, 'yaw': 0.052, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.713, 'y': 0.01, 'yaw': 0.094, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.798, 'y': 0.018, 'yaw': 6.275, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.884, 'y': 0.017, 'yaw': 6.194, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.969, 'y': 0.01, 'yaw': 6.261, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 1.054, 'y': 0.008, 'yaw': 0.091, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.229, 'y': 0.0, 'yaw': 0.057, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': 0.003, 'yaw': 0.087, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.371, 'y': 0.011, 'yaw': 6.279, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.456, 'y': 0.01, 'yaw': 6.193, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.542, 'y': 0.003, 'yaw': 6.253, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
